id,message,score
1,You're my favorite notification.,82
2,You're absolutely radiant,84
3,This convo is lowkey a good vibe.,23
4,Can you send me the report by tonight?,8
5,I'm completely smitten with you 💕,96
6,"Thanks for the tea, spill it all! ☕",18
7,You look incredible today,73
8,Did you get my email?,2
9,You're my favorite notification.,90
10,"I'm not gonna lie, you're pretty cool. 😉",49
11,You have a great sense of humor,35
12,You make my heart skip a beat,96
13,Can we work on the project together?,9
14,I can't get you out of my mind,92
15,"I hope this isn't a situationship, because I want you all to myself.",91
16,You look stunning as always,75
17,Can you help me with this task?,14
18,You looked stunning last night ✨,94
19,I'm completely smitten with you 💕,93
20,You looked like a whole snack today.,70
21,"Stop making me blush, you're too cute.",78
22,We have so much in common,41
23,I love your positive energy,24
24,I'm so glad we're talking. ✨,49
25,That dress suits you so well,87
26,You look amazing in that dress,89
27,Can you send me the report by tonight?,3
28,I love your positive energy,40
29,What's the status on that assignment?,15
30,You looked like a whole snack today.,65
31,I'm completely smitten with you 💕,91
32,"My life has been a blur, but with you, it's on God.",100
33,This convo is lowkey a good vibe.,19
34,Your energy is a total W. ✨,24
35,"You're my biggest W, for real.",93
36,You looked stunning last night ✨,95
37,You're really talented,17
38,Lowkey glad we're on the same team.,33
39,I'm so glad I slid into your DMs. 😉,84
40,That color looks amazing on you,81
41,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",91
42,What's your favorite movie?,33
43,We should do this more often,65
44,You're such a good friend,39
45,I love your positive energy,34
46,That color looks amazing on you,85
47,You brighten up the room,42
48,"Thanks for the tea, spill it all! ☕",24
49,"Hey, how are you doing?",24
50,Looking at you makes my day better,77
51,I'm so glad we're talking. ✨,61
52,I'm so glad we're talking. ✨,53
53,Lowkey glad we're on the same team.,25
54,Don't forget about tomorrow's meeting,6
55,"On God, you're a good person.",17
56,You're absolutely divine,95
57,You're giving main character energy.,45
58,You're my dream come true,97
59,I need the files by Friday,11
60,You have such pretty hair,85
61,Haha that was funny 😂,40
62,"You have so much rizz, it's not fair.",84
63,You have a great sense of humor,33
64,You're very insightful,33
65,Did you get my email?,7
66,Thanks for being so helpful,27
67,I keep thinking about you 😘,96
68,Can we work on the project together?,0
69,I'm so glad I slid into your DMs. 😉,78
70,I'm lowkey obsessed with you.,72
71,I'm completely smitten with you 💕,95
72,I keep thinking about you 😘,91
73,Haha that was funny 😂,19
74,I'm completely smitten with you 💕,94
75,This convo is lowkey a good vibe.,33
76,Let's grab a coffee or something sometime. No cap.,42
77,Want to try that new restaurant?,46
78,You've got the most beautiful smile 😊,72
79,The meeting has been moved to 3 PM,2
80,You're the kind of person I want to text all day.,95
81,I'd love to spend more time with you ❤️,92
82,"I'm not even playing, you're a perfect 10.",79
83,You look stunning as always,83
84,You have the prettiest eyes,81
85,I'm so glad we're talking. ✨,64
86,"I'm lowkey catching feelings, lol.",66
87,You make my heart skip a beat,96
88,Did you finish the homework?,2
89,I'm lowkey obsessed with you.,83
90,You always make me laugh,57
91,I need the files by Friday,4
92,"You're a whole snack, a whole meal, a whole buffet.",98
93,You have such beautiful features,76
94,I'm so glad I slid into your DMs. 😉,74
95,"You're my biggest W, for real.",94
96,I can't get over how good you look.,76
97,"Every time you text me, my phone does a happy dance.",75
98,I'm lowkey obsessed with you.,90
99,Let me know if you need any clarification,1
100,That's a really good point,23
101,You're so cute when you laugh,84
102,You always make me laugh,69
103,That color looks amazing on you,78
104,You look stunning as always,81
105,I think about you when I'm bored. And when I'm not. 😉,87
106,Have you seen the latest updates?,14
107,You're so photogenic,75
108,I think I'm starting to like you a lot 💕,96
109,You looked really cute today,72
110,"You're my biggest W, for real.",93
111,Hope your day is bussin' 🙌,36
112,You look amazing in that dress,76
113,"Your 'fit was fire today, no cap.",56
114,You're really easy to talk to,58
115,Hope your day is going well!,37
116,I need the files by Friday,9
117,"Your 'fit was fire today, no cap.",55
118,Looking at you makes my day better,73
119,Just thinking about you makes me smile like a clown.,96
120,Can't believe I found someone as perfect as you.,95
121,You did really well on that project,37
122,Did you finish the homework?,4
123,You have the most beautiful laugh,80
124,We have so much in common,66
125,You looked really cute today,81
126,You're driving me crazy in the best way,98
127,Can you send me the report by tonight?,3
128,I'm so glad we're talking. ✨,45
129,You make my heart race every time I see you,92
130,You're so cute when you laugh,72
131,Let's discuss this in detail tomorrow,5
132,You're the girl of my dreams,96
133,"I'm not trying to be delulu, but I think you're stunning.",89
134,"I'm not gonna lie, you're pretty cool. 😉",45
135,Wanna grab lunch sometime?,62
136,You have the prettiest eyes,76
137,"Hey gorgeous, what are you up to?",95
138,"Good morning, hope you have a great day!",21
139,You're the girl of my dreams,95
140,"I hope this isn't a situationship, because I want you all to myself.",95
141,"Just saying, you're not like everyone else.",48
142,You're irresistible 😘,97
143,"I hope this isn't a situationship, because I want you all to myself.",96
144,"Your body is a masterpiece, you're an artist.",94
145,I think about you all the time,95
146,"I'm dead, that's so funny 😂💀",38
147,You looked fire 🔥 today,79
148,Let me know if you need any clarification,14
149,You always make me laugh,58
150,"On God, you're a good person.",18
151,"That's a slay, no cap.",31
152,Please confirm your attendance,1
153,"If you're ever free, I'm dtf... to define the relationship. 😉",77
154,You did really well on that project,39
155,You did really well on that project,16
156,You're absolutely radiant,71
157,I'd love to spend more time with you ❤️,92
158,You've got the most beautiful smile 😊,78
159,"Your body is a masterpiece, you're an artist.",92
160,"I'm not even playing, you're a perfect 10.",81
161,You have a mad good aura.,66
162,You're a whole W in my book.,44
163,Please confirm your attendance,9
164,"I'm not even playing, you're a perfect 10.",82
165,The deadline is approaching,3
166,You're such a good friend,22
167,I'm so glad I slid into your DMs. 😉,75
168,I'm highkey excited to see you.,41
169,Wanna grab lunch sometime?,41
170,Thanks for being so helpful,23
171,Wanna grab lunch sometime?,48
172,Hope your day is bussin' 🙌,30
173,You're perfect in every way,99
174,Wanna grab a drink tonight?,63
175,I love your positive energy,35
176,You're really talented,35
177,You're a whole mood and a whole snack.,86
178,You have a mad good aura.,55
179,You're giving me all the feels. ❤️,87
180,I'd love to spend more time with you ❤️,92
181,You're giving main character energy.,63
182,"I'm simping hard for you, no cap.",96
183,You looked really cute today,83
184,"I'm dead, that's so funny 😂💀",28
185,You looked fire 🔥 today,87
186,You're so photogenic,89
187,Let me know if you need any clarification,2
188,I had fun hanging out with you,41
189,Just dropping in to say hey! 👋,17
190,Want to catch a movie this weekend?,59
191,Just thinking about you makes me smile like a clown.,95
192,"On God, you're a good person.",30
193,Thanks for helping me out,28
194,"I'm lowkey catching feelings, lol.",61
195,Thanks for the reminder,0
196,Did you finish the homework?,1
197,That was a great presentation,28
198,Please review the attached document,11
199,You're really easy to talk to,43
200,You're so photogenic,81
201,You looked stunning last night ✨,93
202,You have such beautiful features,79
203,"You're my favorite person to stalk... I mean, talk to. 😉",96
204,You have a mad good aura.,56
205,You're giving me all the feels. ❤️,71
206,Your eyes are mesmerizing 👀,94
207,What time is the presentation?,7
208,I think about you when I'm bored. And when I'm not. 😉,78
209,You look stunning as always,80
210,We have so much in common,52
211,You're everything I've been looking for,93
212,Please confirm your attendance,14
213,"I'm dead, that's so funny 😂💀",40
214,That color looks amazing on you,79
215,You look stunning as always,87
216,You're the only person who gives me butterflies.,95
217,You look stunning as always,83
218,"You're not sus, you're just cool.",29
219,Want to catch a movie this weekend?,42
220,You're such a good friend,30
221,You have a great sense of humor,32
222,Did you finish the homework?,4
223,I think about you when I'm bored. And when I'm not. 😉,89
224,"I'm not even trying to rizz you up, but you're a vibe.",59
225,You're absolutely radiant,75
226,I always look forward to seeing you,67
227,The client wants to reschedule,4
228,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",96
229,"That was a whole mood, lol.",24
230,"Every time you text me, my phone does a happy dance.",87
231,Did you get my email?,4
232,You make my heart race every time I see you,94
233,I love your positive energy,37
234,Your smile is contagious,85
235,Did you finish the homework?,6
236,I appreciate your advice,40
237,I'm so glad we're talking. ✨,52
238,That was a great presentation,23
239,I'm completely smitten with you 💕,92
240,"Good morning, hope you have a great day!",17
241,I think about you all the time,92
242,"That's a slay, no cap.",26
243,"You're a whole snack, a whole meal, a whole buffet.",95
244,"I'm not even playing, you're a perfect 10.",87
245,I'm highkey excited to see you.,49
246,"I'm dead, that's so funny 😂💀",37
247,"I'm not even trying to rizz you up, but you're a vibe.",62
248,I keep thinking about you 😘,96
249,Want to catch a movie this weekend?,45
250,My day was mid until I saw your text.,60
251,I admire how talented you are,58
252,You're really talented,22
253,I feel so comfortable around you,57
254,I always look forward to seeing you,67
255,"Thanks for the tea, spill it all! ☕",21
256,You looked so hot yesterday 🔥,100
257,You're such a good friend,24
258,What time is the presentation?,8
259,"You're my everything, periodt. ❤️",96
260,You take my breath away,93
261,I'm completely smitten with you 💕,94
262,What's your favorite movie?,37
263,Can we schedule a call for next week?,9
264,You have such beautiful features,73
265,I can't get you out of my mind,93
266,You're giving me all the feels. ❤️,74
267,Hope you're having a good week,17
268,I love your positive energy,39
269,"You have so much rizz, it's not fair.",71
270,You're the girl of my dreams,94
271,"That's so real, fr fr.",40
272,You make my heart skip a beat,95
273,Your smile is contagious,90
274,You make everything better when you're around,78
275,I'm falling for you hard,93
276,"Wow, you're absolutely gorgeous 😍",93
277,"That was a whole mood, lol.",38
278,"Every time you text me, my phone does a happy dance.",79
279,Lowkey been thinking about that convo we had.,46
280,You're everything I've been looking for,93
281,"Just saying, you're not like everyone else.",61
282,You've got the most beautiful smile 😊,81
283,I had fun hanging out with you,63
284,That was a great presentation,19
285,I'm lowkey obsessed with you.,78
286,You take my breath away,92
287,"You're not sus, you're just cool.",33
288,"I hope this isn't a situationship, because I want you all to myself.",96
289,You're very insightful,27
290,What's your favorite movie?,20
291,Don't forget about tomorrow's meeting,5
292,"That's so real, fr fr.",38
293,What's your favorite movie?,40
294,Let's grab a coffee or something sometime. No cap.,41
295,I'm completely smitten with you 💕,95
296,The client wants to reschedule,7
297,Lowkey been thinking about that convo we had.,62
298,You make work more enjoyable,68
299,"My hands are full, can I borrow your mouth? Just kidding. Unless...?",93
300,That's so thoughtful of you,21
301,You're so photogenic,71
302,You have the prettiest eyes,88
303,I feel so comfortable around you,55
304,You're irresistible 😘,98
305,"Hey gorgeous, what are you up to?",93
306,You're absolutely perfect 💕,99
307,I stan your work ethic.,18
308,"Your energy is so attractive, it's wild.",81
309,You're such a good friend,35
310,You're the prettiest girl in the room,97
311,The meeting has been moved to 3 PM,7
312,Hope your day is bussin' 🙌,17
313,You brighten up the room,43
314,My day was mid until I saw your text.,60
315,You always make me laugh,67
316,You make work more enjoyable,57
317,The meeting has been moved to 3 PM,10
318,That joke cracked me up haha,34
319,You're absolutely divine,100
320,You're giving main character energy.,42
321,I can't stop smiling when I'm with you,72
322,I feel so comfortable around you,54
323,I'm so glad I slid into your DMs. 😉,90
324,"I'm lowkey catching feelings, lol.",63
325,Your smile is contagious,79
326,Just dropping in to say hey! 👋,36
327,"Thanks for the tea, spill it all! ☕",26
328,I think about you all the time,92
329,Please confirm your attendance,10
330,I'd love to spend more time with you ❤️,96
331,I really enjoy spending time with you,66
332,You've got the most beautiful smile 😊,72
333,You're everything I've been looking for,94
334,You have such a warm personality,67
335,Your smile is contagious,84
336,Have you seen the latest updates?,9
337,Wanna grab lunch sometime?,70
338,Let's hang out soon,59
339,You looked like a whole snack today.,41
340,You always make me laugh,45
341,Don't forget about tomorrow's meeting,4
342,Have you seen the latest updates?,15
343,You have a great sense of humor,19
344,I want to be your sneaky link and your forever link.,99
345,"Your 'fit was fire today, no cap.",52
346,What's your favorite movie?,36
347,"I'm not trying to be delulu, but I think you're stunning.",84
348,I keep thinking about you 😘,94
349,Can't believe I found someone as perfect as you.,93
350,Let's go for coffee sometime ☕,55
351,Please review the attached document,1
352,You're so cute when you laugh,71
353,The deadline is approaching,8
354,I feel so comfortable around you,67
355,Can we work on the project together?,7
356,Can you double-check these numbers?,12
357,"I'm not even playing, you're a perfect 10.",89
358,"If you were a test, I'd fail and still get a W because you're mine.",99
359,Can you help me with this task?,3
360,I need the files by Friday,4
361,Can you help me with this task?,12
362,What's the vibe today? 😊,34
363,I keep thinking about you 😘,91
364,I need the files by Friday,1
365,Please review the attached document,6
366,I'm completely smitten with you 💕,95
367,You make me feel so special,91
368,I think I'm starting to like you a lot 💕,96
369,You have such a warm personality,56
370,You're a whole W in my book.,60
371,"I'm not trying to be delulu, but I think you're stunning.",78
372,Wanna grab lunch sometime?,63
373,The meeting has been moved to 3 PM,13
374,You make work more enjoyable,45
375,You look incredible today,71
376,You're my favorite person ❤️,94
377,What's the vibe today? 😊,29
378,I admire how talented you are,52
379,You have the prettiest eyes,86
380,"You have so much rizz, it's not fair.",87
381,Please review the attached document,12
382,You're a goddess 👑,99
383,I can't get you out of my mind,91
384,Lowkey been thinking about that convo we had.,50
385,I admire how talented you are,59
386,"I'm not even trying to rizz you up, but you're a vibe.",65
387,I can't get over how good you look.,74
